id,title,categories,abstract,doi,created,updated,authors
1802.05319,500+ times faster than deep learning (a case study exploring faster   methods for text mining stackoverflow),cs.se cs.lg stat.ml,"deep learning methods are useful for high-dimensional data and are becoming widely used in many areas of software engineering. deep learners utilizes extensive computational power and can take a long time to train-- making it difficult to widely validate and repeat and improve their results. further, they are not the best solution in all domains. for example, recent results show that for finding related stack overflow posts, a tuned svm performs similarly to a deep learner, but is significantly faster to train. this paper extends that recent result by clustering the dataset, then tuning very learners within each cluster. this approach is over 500 times faster than deep learning (and over 900 times faster if we use all the cores on a standard laptop computer). significantly, this faster approach generates classifiers nearly as good (within 2\% f1 score) as the much slower deep learning method. hence we recommend this faster methods since it is much easier to reproduce and utilizes far fewer cpu resources. more generally, we recommend that before researchers release research results, that they compare their supposedly sophisticated methods against simpler alternatives (e.g applying simpler learners to build local models).",10.1145/3196398.3196424,2018-02-14,,"['suvodeep majumder', 'nikhila balaji', 'katie brey', 'wei fu', 'tim menzies']"
1803.00679,matrices with gaussian noise: optimal estimates for singular subspace   perturbation,stat.ml cs.it cs.lg math.it math.pr,"the davis-kahan-wedin $\sin \theta$ theorem describes how the singular subspaces of a matrix change when subjected to a small perturbation. this classic result is sharp in the worst case scenario. in this paper, we prove a stochastic version of the davis-kahan-wedin $\sin \theta$ theorem when the perturbation is a gaussian random matrix. under certain structural assumptions, we obtain an optimal bound that significantly improves upon the classic davis-kahan-wedin $\sin \theta$ theorem. one of our key tools is a new perturbation bound for the singular values, which may be of independent interest.",,2018-03-01,2023-12-29,"[""sean o'rourke"", 'van vu', 'ke wang']"
1806.05451,the committee machine: computational to statistical gaps in learning a   two-layers neural network,cs.lg cond-mat.dis-nn cond-mat.stat-mech physics.comp-ph stat.ml,"heuristic tools from statistical physics have been used in the past to locate the phase transitions and compute the optimal learning and generalization errors in the teacher-student scenario in multi-layer neural networks. in this contribution, we provide a rigorous justification of these approaches for a two-layers neural network model called the committee machine. we also introduce a version of the approximate message passing (amp) algorithm for the committee machine that allows to perform optimal learning in polynomial time for a large set of parameters. we find that there are regimes in which a low generalization error is information-theoretically achievable while the amp algorithm fails to deliver it, strongly suggesting that no efficient algorithm exists for those cases, and unveiling a large computational gap.",10.1088/1742-5468/ab43d2,2018-06-14,2024-02-29,"['benjamin aubin', 'antoine maillard', 'jean barbier', 'florent krzakala', 'nicolas macris', 'lenka zdeborová']"
1809.04564,on the generalization of stochastic gradient descent with momentum,cs.lg stat.ml,"while momentum-based accelerated variants of stochastic gradient descent (sgd) are widely used when training machine learning models, there is little theoretical understanding on the generalization error of such methods. in this work, we first show that there exists a convex loss function for which the stability gap for multiple epochs of sgd with standard heavy-ball momentum (sgdm) becomes unbounded. then, for smooth lipschitz loss functions, we analyze a modified momentum-based update rule, i.e., sgd with early momentum (sgdem) under a broad range of step-sizes, and show that it can train machine learning models for multiple epochs with a guarantee for generalization. finally, for the special case of strongly convex loss functions, we find a range of momentum such that multiple epochs of standard sgdm, as a special form of sgdem, also generalizes. extending our results on generalization, we also develop an upper bound on the expected true risk, in terms of the number of training steps, sample size, and momentum. our experimental evaluations verify the consistency between the numerical results and our theoretical bounds. sgdem improves the generalization error of sgdm when training resnet-18 on imagenet in practical distributed settings.",,2018-09-12,2024-01-15,"['ali ramezani-kebrya', 'kimon antonakopoulos', 'volkan cevher', 'ashish khisti', 'ben liang']"
1810.01864,agnostic sample compression schemes for regression,cs.lg cs.it math.it math.st stat.ml stat.th,"we obtain the first positive results for bounded sample compression in the agnostic regression setting with the $\ell_p$ loss, where $p\in [1,\infty]$. we construct a generic approximate sample compression scheme for real-valued function classes exhibiting exponential size in the fat-shattering dimension but independent of the sample size. notably, for linear regression, an approximate compression of size linear in the dimension is constructed. moreover, for $\ell_1$ and $\ell_\infty$ losses, we can even exhibit an efficient exact sample compression scheme of size linear in the dimension. we further show that for every other $\ell_p$ loss, $p\in (1,\infty)$, there does not exist an exact agnostic compression scheme of bounded size. this refines and generalizes a negative result of david, moran, and yehudayoff for the $\ell_2$ loss. we close by posing general open questions: for agnostic regression with $\ell_1$ loss, does every function class admits an exact compression scheme of size equal to its pseudo-dimension? for the $\ell_2$ loss, does every function class admit an approximate compression scheme of polynomial size in the fat-shattering dimension? these questions generalize warmuth's classic sample compression conjecture for realizable-case classification.",,2018-10-03,2024-02-03,"['idan attias', 'steve hanneke', 'aryeh kontorovich', 'menachem sadigurschi']"
1810.02897,cdf transform-and-shift: an effective way to deal with datasets of   inhomogeneous cluster densities,cs.lg cs.ai cs.cv stat.ml,"the problem of inhomogeneous cluster densities has been a long-standing issue for distance-based and density-based algorithms in clustering and anomaly detection. these algorithms implicitly assume that all clusters have approximately the same density. as a result, they often exhibit a bias towards dense clusters in the presence of sparse clusters. many remedies have been suggested; yet, we show that they are partial solutions which do not address the issue satisfactorily. to match the implicit assumption, we propose to transform a given dataset such that the transformed clusters have approximately the same density while all regions of locally low density become globally low density -- homogenising cluster density while preserving the cluster structure of the dataset. we show that this can be achieved by using a new multi-dimensional cumulative distribution function in a transform-and-shift method. the method can be applied to every dataset, before the dataset is used in many existing algorithms to match their implicit assumption without algorithmic modification. we show that the proposed method performs better than existing remedies.",10.1016/j.patcog.2021.107977,2018-10-05,2021-04-12,"['ye zhu', 'kai ming ting', 'mark carman', 'maia angelova']"
1810.03393,hierarchical clustering that takes advantage of both density-peak and   density-connectivity,cs.lg cs.ai stat.ml,"this paper focuses on density-based clustering, particularly the density peak (dp) algorithm and the one based on density-connectivity dbscan; and proposes a new method which takes advantage of the individual strengths of these two methods to yield a density-based hierarchical clustering algorithm. our investigation begins with formally defining the types of clusters dp and dbscan are designed to detect; and then identifies the kinds of distributions that dp and dbscan individually fail to detect all clusters in a dataset. these identified weaknesses inspire us to formally define a new kind of clusters and propose a new method called dc-hdp to overcome these weaknesses to identify clusters with arbitrary shapes and varied densities. in addition, the new method produces a richer clustering result in terms of hierarchy or dendrogram for better cluster structures understanding. our empirical evaluation results show that dc-hdp produces the best clustering results on 14 datasets in comparison with 7 state-of-the-art clustering algorithms.",10.1016/j.is.2021.101871,2018-10-08,2021-09-20,"['ye zhu', 'kai ming ting', 'yuan jin', 'maia angelova']"
1810.13306,automated machine learning: from principles to practices,cs.ai cs.lg stat.ml,"machine learning (ml) methods have been developing rapidly, but configuring and selecting proper methods to achieve a desired performance is increasingly difficult and tedious. to address this challenge, automated machine learning (automl) has emerged, which aims to generate satisfactory ml configurations for given tasks in a data-driven way. in this paper, we provide a comprehensive survey on this topic. we begin with the formal definition of automl and then introduce its principles, including the bi-level learning objective, the learning strategy, and the theoretical interpretation. then, we summarize the automl practices by setting up the taxonomy of existing works based on three main factors: the search space, the search algorithm, and the evaluation strategy. each category is also explained with the representative methods. then, we illustrate the principles and practices with exemplary applications from configuring ml pipeline, one-shot neural architecture search, and integration with foundation models. finally, we highlight the emerging directions of automl and conclude the survey.",,2018-10-31,2024-02-27,"['zhenqian shen', 'yongqi zhang', 'lanning wei', 'huan zhao', 'quanming yao']"
1812.02207,better trees: an empirical study on hyperparameter tuning of   classification decision tree induction algorithms,cs.lg stat.ml,"machine learning algorithms often contain many hyperparameters (hps) whose values affect the predictive performance of the induced models in intricate ways. due to the high number of possibilities for these hp configurations and their complex interactions, it is common to use optimization techniques to find settings that lead to high predictive performance. however, insights into efficiently exploring this vast space of configurations and dealing with the trade-off between predictive and runtime performance remain challenging. furthermore, there are cases where the default hps fit the suitable configuration. additionally, for many reasons, including model validation and attendance to new legislation, there is an increasing interest in interpretable models, such as those created by the decision tree (dt) induction algorithms. this paper provides a comprehensive approach for investigating the effects of hyperparameter tuning for the two dt induction algorithms most often used, cart and c4.5. dt induction algorithms present high predictive performance and interpretable classification models, though many hps need to be adjusted. experiments were carried out with different tuning strategies to induce models and to evaluate hps' relevance using 94 classification datasets from openml. the experimental results point out that different hp profiles for the tuning of each algorithm provide statistically significant improvements in most of the datasets for cart, but only in one-third for c4.5. although different algorithms may present different tuning scenarios, the tuning techniques generally required few evaluations to find accurate solutions. furthermore, the best technique for all the algorithms was the irace. finally, we found out that tuning a specific small subset of hps is a good alternative for achieving optimal predictive performance.",10.1007/s10618-024-01002-5,2018-12-05,2023-12-21,"['rafael gomes mantovani', 'tomáš horváth', 'andré l. d. rossi', 'ricardo cerri', 'sylvio barbon junior', 'joaquin vanschoren', 'andré carlos ponce de leon ferreira de carvalho']"
1902.08412,adversarial attacks on graph neural networks via meta learning,cs.lg cs.cr stat.ml,"deep learning models for graphs have advanced the state of the art on many tasks. despite their recent success, little is known about their robustness. we investigate training time attacks on graph neural networks for node classification that perturb the discrete graph structure. our core principle is to use meta-gradients to solve the bilevel problem underlying training-time attacks, essentially treating the graph as a hyperparameter to optimize. our experiments show that small graph perturbations consistently lead to a strong decrease in performance for graph convolutional networks, and even transfer to unsupervised embeddings. remarkably, the perturbations created by our algorithm can misguide the graph neural networks such that they perform worse than a simple baseline that ignores all relational information. our attacks do not assume any knowledge about or access to the target classifiers.",,2019-02-22,2024-01-28,"['daniel zügner', 'stephan günnemann']"
1905.09239,optimal decision making under strategic behavior,cs.lg cs.cy stat.ml,"we are witnessing an increasing use of data-driven predictive models to inform decisions. as decisions have implications for individuals and society, there is increasing pressure on decision makers to be transparent about their decision policies. at the same time, individuals may use knowledge, gained by transparency, to invest effort strategically in order to maximize their chances of receiving a beneficial decision. our goal is to find decision policies that are optimal in terms of utility in such a strategic setting. to this end, we first characterize how strategic investment of effort by individuals leads to a change in the feature distribution. using this characterization, we first show that, in general, we cannot expect to find optimal decision policies in polynomial time and there are cases in which deterministic policies are suboptimal. then, we demonstrate that, if the cost individuals pay to change their features satisfies a natural monotonicity assumption, we can narrow down the search for the optimal policy to a particular family of decision policies with a set of desirable properties, which allow for a highly effective polynomial time heuristic search algorithm using dynamic programming. finally, under no assumptions on the cost individuals pay to change their features, we develop an iterative search algorithm that is guaranteed to find locally optimal decision policies also in polynomial time. experiments on synthetic and real credit card data illustrate our theoretical findings and show that the decision policies found by our algorithms achieve higher utility than those that do not account for strategic behavior.",10.1287/mnsc.2021.02567,2019-05-22,2020-09-21,"['stratis tsirtsis', 'behzad tabibian', 'moein khajehnejad', 'adish singla', 'bernhard schölkopf', 'manuel gomez-rodriguez']"
1905.10917,temporal-difference learning with nonlinear function approximation: lazy   training and mean field regimes,cs.lg stat.ml,"we discuss the approximation of the value function for infinite-horizon discounted markov reward processes (mrp) with nonlinear functions trained with the temporal-difference (td) learning algorithm. we first consider this problem under a certain scaling of the approximating function, leading to a regime called lazy training. in this regime, the parameters of the model vary only slightly during the learning process, a feature that has recently been observed in the training of neural networks, where the scaling we study arises naturally, implicit in the initialization of their parameters. both in the under- and over-parametrized frameworks, we prove exponential convergence to local, respectively global minimizers of the above algorithm in the lazy training regime. we then compare this scaling of the parameters to the mean-field regime, where the approximately linear behavior of the model is lost. under this alternative scaling we prove that all fixed points of the dynamics in parameter space are global minimizers. we finally give examples of our convergence results in the case of models that diverge if trained with non-lazy td learning, and in the case of neural networks.",,2019-05-26,2021-08-11,"['andrea agazzi', 'jianfeng lu']"
1906.01741,fr\'echet random forests for metric space valued regression with non   euclidean predictors,stat.ml cs.lg stat.me,"random forests are a statistical learning method widely used in many areas of scientific research because of its ability to learn complex relationships between input and output variables and also its capacity to handle high-dimensional data. however, current random forest approaches are not flexible enough to handle heterogeneous data such as curves, images and shapes. in this paper, we introduce fr\'echet trees and fr\'echet random forests, which allow to handle data for which input and output variables take values in general metric spaces. to this end, a new way of splitting the nodes of trees is introduced and the prediction procedures of trees and forests are generalized. then, random forests out-of-bag error and variable importance score are naturally adapted. a consistency theorem for fr\'echet regressogram predictor using data-driven partitions is given and applied to fr\'echet purely uniformly random trees. the method is studied through several simulation scenarios on heterogeneous data combining longitudinal, image and scalar data. finally, one real dataset about air quality is used to illustrate the use of the proposed method in practice.",,2019-06-04,2024-02-16,"['louis capitaine', 'jérémie bigot', 'rodolphe thiébaut', 'robin genuer']"
1906.09744,improving the effectiveness and efficiency of stochastic neighbour   embedding with isolation kernel,cs.lg cs.ai cs.cv stat.ml,"this paper presents a new insight into improving the performance of stochastic neighbour embedding (t-sne) by using isolation kernel instead of gaussian kernel. isolation kernel outperforms gaussian kernel in two aspects. first, the use of isolation kernel in t-sne overcomes the drawback of misrepresenting some structures in the data, which often occurs when gaussian kernel is applied in t-sne. this is because gaussian kernel determines each local bandwidth based on one local point only, while isolation kernel is derived directly from the data based on space partitioning. second, the use of isolation kernel yields a more efficient similarity computation because data-dependent isolation kernel has only one parameter that needs to be tuned. in contrast, the use of data-independent gaussian kernel increases the computational cost by determining n bandwidths for a dataset of n points. as the root cause of these deficiencies in t-sne is gaussian kernel, we show that simply replacing gaussian kernel with isolation kernel in t-sne significantly improves the quality of the final visualisation output (without creating misrepresented structures) and removes one key obstacle that prevents t-sne from processing large datasets. moreover, isolation kernel enables t-sne to deal with large-scale datasets in less runtime without trading off accuracy, unlike existing methods in speeding up t-sne.",10.1613/jair.1.12904,2019-06-24,2021-07-08,"['ye zhu', 'kai ming ting']"
1907.00378,nearest-neighbour-induced isolation similarity and its impact on   density-based clustering,cs.lg stat.ml,"a recent proposal of data dependent similarity called isolation kernel/similarity has enabled svm to produce better classification accuracy. we identify shortcomings of using a tree method to implement isolation similarity; and propose a nearest neighbour method instead. we formally prove the characteristic of isolation similarity with the use of the proposed method. the impact of isolation similarity on density-based clustering is studied here. we show for the first time that the clustering performance of the classic density-based clustering algorithm dbscan can be significantly uplifted to surpass that of the recent density-peak clustering algorithm dp. this is achieved by simply replacing the distance measure with the proposed nearest-neighbour-induced isolation similarity in dbscan, leaving the rest of the procedure unchanged. a new type of clusters called mass-connected clusters is formally defined. we show that dbscan, which detects density-connected clusters, becomes one which detects mass-connected clusters, when the distance measure is replaced with the proposed similarity. we also provide the condition under which mass-connected clusters can be detected, while density-connected clusters cannot.",10.1609/aaai.v33i01.33014755,2019-06-30,,"['xiaoyu qin', 'kai ming ting', 'ye zhu', 'vincent cs lee']"
1908.00286,reinforcement learning for personalized dialogue management,cs.lg cs.ai cs.cl cs.hc stat.ml,"language systems have been of great interest to the research community and have recently reached the mass market through various assistant platforms on the web. reinforcement learning methods that optimize dialogue policies have seen successes in past years and have recently been extended into methods that personalize the dialogue, e.g. take the personal context of users into account. these works, however, are limited to personalization to a single user with whom they require multiple interactions and do not generalize the usage of context across users. this work introduces a problem where a generalized usage of context is relevant and proposes two reinforcement learning (rl)-based approaches to this problem. the first approach uses a single learner and extends the traditional pomdp formulation of dialogue state with features that describe the user context. the second approach segments users by context and then employs a learner per context. we compare these approaches in a benchmark of existing non-rl and rl-based methods in three established and one novel application domain of financial product recommendation. we compare the influence of context and training experiences on performance and find that learning approaches generally outperform a handcrafted gold standard.",10.1145/3350546.3352501,2019-08-01,,"['floris den hengst', 'mark hoogendoorn', 'frank van harmelen', 'joost bosman']"
1908.06486,independence testing for temporal data,stat.ml cs.lg stat.me,"temporal data are increasingly prevalent in modern data science. a fundamental question is whether two time-series are related or not. existing approaches often have limitations, such as relying on parametric assumptions, detecting only linear associations, and requiring multiple tests and corrections. while many non-parametric and universally consistent dependence measures have recently been proposed, directly applying them to temporal data can inflate the p-value and result in invalid test. to address these challenges, this paper introduces the temporal dependence statistic with block permutation to test independence between temporal data. under proper assumptions, the proposed procedure is asymptotically valid and universally consistent for testing independence between stationary time-series, and capable of estimating the optimal dependence lag that maximizes the dependence. notably, it is compatible with a rich family of distance and kernel based dependence measures, eliminates the need for multiple testing, and demonstrates superior power in multivariate, low sample size, and nonlinear settings. an analysis of neural connectivity with fmri data reveals various temporal dependence among signals within the visual network and default mode network.",,2019-08-18,2024-02-05,"['cencheng shen', 'jaewon chung', 'ronak mehta', 'ting xu', 'joshua t. vogelstein']"
1908.08600,online causal inference for advertising in real-time bidding auctions,cs.lg cs.gt econ.em stat.ml,"real-time bidding (rtb) systems, which utilize auctions to allocate user impressions to competing advertisers, continue to enjoy success in digital advertising. assessing the effectiveness of such advertising remains a challenge in research and practice. this paper proposes a new approach to perform causal inference on advertising bought through such mechanisms. leveraging the economic structure of first- and second-price auctions, we first show that the effects of advertising are identified by the optimal bids. hence, since these optimal bids are the only objects that need to be recovered, we introduce an adapted thompson sampling (ts) algorithm to solve a multi-armed bandit problem that succeeds in recovering such bids and, consequently, the effects of advertising while minimizing the costs of experimentation. we derive a regret bound for our algorithm which is order optimal and use data from rtb auctions to show that it outperforms commonly used methods that estimate the effects of advertising.",,2019-08-22,2024-02-25,"['caio waisman', 'harikesh s. nair', 'carlos carrion']"
1910.06002,optimal clustering from noisy binary feedback,stat.ml cs.lg,"we study the problem of clustering a set of items from binary user feedback. such a problem arises in crowdsourcing platforms solving large-scale labeling tasks with minimal effort put on the users. for example, in some of the recent recaptcha systems, users clicks (binary answers) can be used to efficiently label images. in our inference problem, items are grouped into initially unknown non-overlapping clusters. to recover these clusters, the learner sequentially presents to users a finite list of items together with a question with a binary answer selected from a fixed finite set. for each of these items, the user provides a noisy answer whose expectation is determined by the item cluster and the question and by an item-specific parameter characterizing the {\it hardness} of classifying the item. the objective is to devise an algorithm with a minimal cluster recovery error rate. we derive problem-specific information-theoretical lower bounds on the error rate satisfied by any algorithm, for both uniform and adaptive (list, question) selection strategies. for uniform selection, we present a simple algorithm built upon the k-means algorithm and whose performance almost matches the fundamental limits. for adaptive selection, we develop an adaptive algorithm that is inspired by the derivation of the information-theoretical error lower bounds, and in turn allocates the budget in an efficient way. the algorithm learns to select items hard to cluster and relevant questions more often. we compare the performance of our algorithms with or without the adaptive selection strategy numerically and illustrate the gain achieved by being adaptive.",,2019-10-14,2024-02-05,"['kaito ariu', 'jungseul ok', 'alexandre proutiere', 'se-young yun']"
1910.08597,robust learning rate selection for stochastic optimization via splitting   diagnostic,stat.ml cs.lg math.oc stat.me,"this paper proposes splitsgd, a new dynamic learning rate schedule for stochastic optimization. this method decreases the learning rate for better adaptation to the local geometry of the objective function whenever a stationary phase is detected, that is, the iterates are likely to bounce at around a vicinity of a local minimum. the detection is performed by splitting the single thread into two and using the inner product of the gradients from the two threads as a measure of stationarity. owing to this simple yet provably valid stationarity detection, splitsgd is easy-to-implement and essentially does not incur additional computational cost than standard sgd. through a series of extensive experiments, we show that this method is appropriate for both convex problems and training (non-convex) neural networks, with performance compared favorably to other stochastic optimization methods. importantly, this method is observed to be very robust with a set of default parameters for a wide range of problems and, moreover, can yield better generalization performance than other adaptive gradient methods such as adam.",,2019-10-18,2024-02-16,"['matteo sordello', 'niccolò dalmasso', 'hangfeng he', 'weijie su']"
1910.10596,sparse orthogonal variational inference for gaussian processes,stat.ml cs.lg,"we introduce a new interpretation of sparse variational approximations for gaussian processes using inducing points, which can lead to more scalable algorithms than previous methods. it is based on decomposing a gaussian process as a sum of two independent processes: one spanned by a finite basis of inducing points and the other capturing the remaining variation. we show that this formulation recovers existing approximations and at the same time allows to obtain tighter lower bounds on the marginal likelihood and new stochastic variational inference algorithms. we demonstrate the efficiency of these algorithms in several gaussian process models ranging from standard regression to multi-class classification using (deep) convolutional gaussian processes and report state-of-the-art results on cifar-10 among purely gp-based models.",,2019-10-23,2024-02-24,"['jiaxin shi', 'michalis k. titsias', 'andriy mnih']"
